Joke,Counter
Warum ist der Mond so blass? Weil er viele schlaflose Nächte hat.,0
"Egal wie gut du schläfst, Albert schläft wie Einstein.",0
Was wird im spanischen Gefängnis zu Weihnachten gesungen? Verlies Navidad.,0
"Ein Vampir in der Verkehrskontrolle. Fragt der Polizist: „Haben Sie was getrunken?“ Antwortet der Vampir: „Ja, zwei Radler.“",0
"Welche Zeit ist es, wenn ein Elefant auf dem Auto sitzt? Zeit für ein neues Auto.",0
Was machen Mathematiker im Garten? Wurzeln ziehen.,0
"Warum ist Butter so fettig? Damit es nicht quietscht, wenn man sie aufs Brot schmiert.",0
Ich habe vorhin beim Brötchen angerufen. War belegt.,0
"Wenn sich ein Wissenschaftler ein Brot belegt, ist es dann wissenschaftlich belegt?",0
Was ist grün und guckt durch das Schlüsselloch? Ein Spionat.,0
Ob ich Chemie-Witze lustig finde? Na Chlor!,0
"Egal wie gut du fährst, Züge fahren Güter.",0
Wie nennt man einen studierten Bauern? Einen Ackerdemiker.,0
Was fängt mit Z an und kann schwimmen? Zwei Enten.,0
Sagt die Schraube zum Magneten: „Ich häng an dir!“,0
Warum gehen Fliegen nicht in die Kirche? Weil sie Insekten sind.,0
Wissenschaftler haben herausgefunden... – Und sind wieder hineingegangen.,0
Heute war Schrottwichteln im Kindergarten… – Wir sind die neuen Eltern von Kevin.,0
"Wie nennt man jemanden, der so tut, als würde er etwas werfen? – Scheinwerfer.",0
"Was ist grün, schlau und stellt viele Fragen? – Günther Lauch.",0
Ich hab einem Hippster ins Bein geschossen – Jetzt hoppst´er.,0
"Wie nennt man einen Bumerang, der nicht zurückkommt? – Stock.",0
Wie heißt die Frau von Herkules? – Frau Kules.,0
"Sagt die eine Kuh ""Muuuh"", sagt die andere ""Hey, das wollte ich auch gerade sagen.""",0
"Seit ich clean bin, sprechen meine Freunde nicht mehr mit mir. Der Toaster und die Lampe auch nicht.",0
Warum fliegen Vögel im Winter in Richtung Süden? – Weil es schneller geht als Laufen.,0
"""Anton, findest du, dass ich eine schlechte Mutter bin?"" ""Ich heiße Paul.""",0
"Lehrerin zu Peter: Tut mir leid, aber ich kann dir in Französisch maximal eine 5- geben“. Peter darauf: ""Gracias!""",0
"Wie nennt man einen Hund, der zaubern kann? – Labrakadabrador.",0
"""Man, ich versteh echt nicht, warum meine Pflanzen immer vertrocknen!?"" – Jochen, steht auf dem Schlauch.",0
"Ich wollte eigentlich einen Witz über die Deutsche Bahn machen, aber ich glaube der kommt nicht an.",0
Wie nennt man ein helles Mammut? – Hellmut.,0
"Was sagt ein Bauer, der seinen Trecker sucht? – Wo ist mein Trecker?",0
"Egal wie leer du im Kopf bist, manche Leute sind Lehrer.",0
"Ein Beamter zum anderen: ""Was haben denn die Leute? Wir machen doch gar nichts.""",0
Wie nennt man ein Einhorn mit 2 Hörnern? – Stier.,0
Warum summen Bienen? – Weil sie den Text nicht kennen.,0
Ich hab gestern meinen Besen verkauft. – I don’t kehr.,0
Wohin geht ein Reh ohne Haare? – In die Reha-Klinik.,0
Warum sieht man Ameisen nicht in Kirchen? – Weil sie In-Sekten sind.,0
Wie heißt der Bruder von Elvis? – Zwölvis.,0
"Wie heißt ein Hund ohne Beine? – Ist egal, der kommt eh nicht, wenn man ihn ruft.",0
"Wenn man Buchstabensuppe auskotzt, ist das dann gebrochenes Deutsch?",0
Wie heißt ein Spanier ohne Auto? – Carlos.,0
"Was sagt das Schwein zum anderen? – Es ist Wurst, was aus uns wird.",0
"Ich wollte gerade Spiderman anrufen, aber er hatte kein Netz.",0
Bei welchem Arzt ist Pinocchio in Behandlung? – Beim Holz-Nasen-Ohren-Arzt.,0
Welche Sprache wird in der Sauna gesprochen? – Schwitzerdeutsch.,0
"Was sind die letzten Worte einer Giftschlange? – Mist, jetzt habe ich mir auf die Zunge gebissen.",0
Wie nennt man ein Rudel aggressiver Wölfe? – Wolfgang.,0
Welches Gebäck weiß auf alles eine Antwort? – Der Googlehupf.,0
Was steht auf dem Grab eines Mathematikers? – Damit hat er nicht gerechnet.,0
Was kauft ein Frosch im Supermarkt? – Quaaark.,0
Was ist lila und sitzt in der Kirche in der ersten Reihe? – Eine Frommbeere.,0
Treffen sich zwei Jäger – Beide tot.,0
"Treffen sich zwei Rechtsanwälte, fragt der eine: ""Und wie?"" Sagt der andere: ""Nichts zu klagen.""",0
Wie machen Igel Liebe? – Megavorsichtig.,0
"Treffen sich zwei Hellseher, fragt der eine: ""Kommst du mit?"" Sagt der andere: ""Ne, da war ich gestern schon.""",0
"Kommt ein Skelett zum Arzt, sagt der Arzt: ""Bisschen spät, was?""",0
"Was beginnt mit ""T"" und endet mit ""itten""? – Tiefkühlfritten.",0
"Was bekommt der Kannibale, der zu spät zum Essen kommt? – Die kalte Schulter.",0
Was trinkt ein Mann vor dem Sex? – Einen Kaffee Latte.,0
"Was ist klein, grün und dreieckig? – Das kleine grüne Dreieck.",0
"Fragt der Walfisch den Thunfisch: ""Was soll ich tun, Fisch?"" Sagt der Thunfisch zum Walfisch: ""Du hast die Wahl Fisch!""",0
Was sagt die Null zur Acht? – Schicker Gürtel.,0
Was macht die Knackwurst so knackig? – Das N.,0
Was sitzt auf dem Ast und weint? – Eine Heule.,0
Warum findet der Henker nie den Rückweg? – Weil er nur die Hinrichtung kennt.,0
Wie heißt der Bruder vom Werwolf? – Warumwolf.,0
"""Oma, hast du meine Tabletten gesehen? Da steht LSD drauf."" ""Vergiss mal die Tabletten, hast du den Drachen in der Küche gesehen?""",0
Was ist die Hälfte von Sechs? – Halb Sechs.,0
"""Wie lange habe ich noch zu leben, Doktor?"" ""10!"" ""10? 10 was? Monate? Jahre?"" ""9, 8, 7…""",0
Ich hab meinem Freund gerade einen Limonadenwitz erzählt. Fanta lustig.,0
Was ist der Unterschied zwischen Lidl und Schule? – Lidl lohnt sich.,0
Wer wohnt im Dschungel und schummelt immer? – Mogli.,0
Was ist weiß und stört beim Essen? – Eine Lawine.,0
"Wenn sich ein Wissenschaftler ein Sandwich macht, ist es dann wissenschaftlich belegt?",0
Wieso können Skelette schlecht lügen? – Weil sie so gut zu durchschauen sind.,0
Wie nennt man ein Kaninchen im Fitnessstudio? – Pumpernickel.,0
Wo sind Elefanten heimisch? – In Rüsselsheim.,0
Warum klaut Robin Hood Deodorants? – Weil er es unter den Armen verteilt.,0
Wie lautet der Vorname vom Reh? – Kartoffelpü.,0
Was sagt der große Stift zum kleinen Stift? – Wachs mal Stift.,0
Ich habe den Joghurt fallen gelassen. Er war nicht mehr haltbar.,0
"""Und was ist so dein Lieblingsfilm?"" ""Tesafilm ist ein echt guter Streifen.""",0
Wisst ihr was der Hammer ist? – Ein Werkzeug.,0
Warum hat die Polizei den Dieb nicht verhaftet? – Er hatte eine Anti-Haft-Beschichtung.,0
Wie nennt man einen Deutschen im All? – Alman.,0
Was atmen Lockführer? – Zugluft.,0
Welcher Vogel vögelt gerne? – Der Fuckuck.,0
Wie heißt ein Ritter ohne Helm? – Willhelm.,0
Wie war die Stimmung in der DDR? – Sie hielt sich in Grenzen.,0
"Wie heißt ein Bär, der fliegen kann? – Hubschraubär.",0
"Treffen sich zwei Ziegen, fragt die eine: ""Kommst du heute Abend mit in den Club?"" Sagt die andere: ""Nein, hab keinen Bock.""",0
"Welche Schuhe kauft jemand, der zwei linke Füße hat? – Flipflips.",0
Wie nennt man Sex mit Gegenständen? Dingsbums.,0
"Gast zum Kellner: ""Die Suppe war köstlich. Richten Sie dem Koch ein Kompliment aus."" Kellner zum Koch: ""Günther, du bist wunderschön!""",0
Wann gehen U-Boote unter? – Am Tag der offenen Tür.,0
Magst du Chemie-Witze? – Chlor!,0
Was macht ein arbeitsloser Schauspieler? – Spielt keine Rolle.,0
Wie nennt man ein Überraschungsessen? – Topf Secret.,0
"Treffen sich zwei Unsichtbare, sagt der eine: ""Dich habe ich ja schon lange nicht mehr gesehen!""",0
"Was passiert, wenn man nachts in der Bäckerei anruft? – Die Mehlbox geht dran.",0
Wie nennt man einen unentschlossenen japanischen Krieger? – Nunja.,0
"Wie heißt die Auszeichnung für besonders, brave, ruhige Hunde? – No-Bell-Preis.",0
Was sitzt auf einem Baum und winkt? – Ein Huhu.,0
Was schwimmt auf dem Wasser und fängt mit Z an? – Zwei Enten.,0
Der Prinz ist angepisst – Rapunzel ließ ihren Harn herunter.,0
"In Australien schaut ein Pinguin total verschwitzt aus dem Beutel eines Kängurus und sagt: ""Scheiß Schüleraustausch.""",0
"Sagt ein Gast zur Kellnerin: ""Hätten Sie noch Milch zum Kaffee?"" Sagt die Kellnerin: ""ich hab Fettarme."" Antwortet der Gast: ""Das seh ich. Aber mit denen können Sie mir doch Milch bringen.""",0
"Hat mich eine Prostituierte am Bahnhof angesprochen. Sie meinte für 30 Euro macht sie alles, was ich will. Jetzt rate mal, wer heute Abend bei mir das Laminat verlegt.",0
"Geht eine schwangere Frau in eine Bäckerei und sagt: ""Ich bekomme ein Brot.""Sagt der Bäcker: ""Sachen gibt’s.""",0
"Was sagt ein Haifisch, wenn er einen Surfer sieht? ""Das ist aber nett. Serviert auf Frühstücksbrettchen.""",0
Was ist ein Keks unter einem Baum? Ein schattiges Plätzchen!,0
Was macht eine Bombe im Bordell? Puff!,0
Hab mich vorhin ausgesperrt. War ganz aus dem Häuschen.,0
Mein Hund kennt alle Straßen in- und auswendig. Ich nenne ihn Google Mops.,0
"Ich habe mit der Pflanze ausgemacht, sie nur noch einmal im Monat zu gießen. Sie ist darauf eingegangen.",0
Was macht ein Clown im Büro? Faxen.,0
Was ist die Steigerung von Buchstabensuppe? - Wörtersee.,0
Wie nennt man einen Deutschen im All? ­– Alman!,0
Vater zum Sohn: Warum hast du eine 6 in Deutsch? Ich hab doch geübt mit du!,0
Was machen Pilze auf Pizza? – Sie fungieren als Belag!,0
Wonach riecht es in der Villa Kunterbunt? ­– Nach Pipi.,0
Was heißt Glatze auf Arabisch? – War da mal Haar da,0
Welcher Fußballer verliert immer sein Trikot? – Messi.,0
Hab die Milch fallen lassen. War nicht mehr haltbar!,0
Wie nennt man ein helles Mammut? – Hellmut.,0
Hab meinem Kaktus den Vorschlag gemacht: Gewässert wird jetzt alle 4 Wochen! – Er ist darauf eingegangen!,0
Als was arbeitet Spider-Man nebenbei? – Als Webdesigner!,0
Was ist die Hälfte von acht? – Halb acht.,0
Wie verführt man einen Drucker? – Mit Ausdruckstanz!,0
Im Club ist das Licht auf dem Klo ausgefallen. Die Gäste waren angepisst!,0
Was lebt im Meer und motzt Autos auf? – Ein Tunefisch!,0
Warum sind Drogensüchtige ständig pleite? – Zu hohe Fixkosten!,0
Wie heißt ein Ritter ohne Helm? – Willhelm.,0
"Wie schwer darf ein Pups sein? – 0 Gramm, sonst ist es",0
"Egal, wie gut du schläfst – Albert schläft wie Einstein.",0
Warum summen Bienen? – weil sie den Text nicht kennen.,0
Was gebrauchen Lehrer am meisten an einem Computer? – Die Leertaste.,0
Was ist der Unterschied zwischen Unwissenheit und Ignoranz? – Weiß ich nicht und ist mir auch egal.,0
"Was ist das Schönste an der Schweiz? – Kein Plan, aber die Flagge ist schon mal ein großes Plus! 🇨🇭",0
"Was hat fünf Zehen, aber es ist nicht dein Fuß? – Mein Fuß!",0
Wie nennt man einen alten Schneemann? – Ein Glas Wasser!,0
"Wie nennt man einen Hund, der zaubern kann? – Einen Labrakadabrador.",0
"Warum gibt es keine schwangere Barbie-Puppe? (Achtung, der kommt mega flach) – Weil Ken in einer anderen Schachtel kommt.",0
Welcher Hund wohnt auf der Toilette? – Ein Poo-dle.,0
"Wie nennt man eine Kuh, die Gitarre spielen kann? – Eine Muuuhsikerin.",0
Wie heißt der Bruder von Elvis? – Zwölvis.,0
Warum kriegen LIDL-Angestellte ein Netto-Gehalt?,0
Was ist weiß und fliegt durch die Luft? – Die Biene Majo!,0
Was ist die Mehrzahl von Rettich? – Mehrrettich.,0
Was kommt aus einer kaputten Kaffeemaschine? – Ein Kaputtchino!,0
"Was passiert, wenn sich 2 Rentner streiten? – Dann fliegen die Dritten!",0
Habe mich im Chemie-Unterricht gemeldet. Keine Reaktion!,0
Wie halten Kerzen am längsten? – Wenn man sie nicht anzündet.,0
"Wie nennt man eine Hexe, die in der Wüste lebt? – Sandwitch!",0
Wie nennt man einen Bauern mit Uni-Abschluss? – Einen Ackerdemiker!,0
Es wurde ein Mord in der Mascara-Fabrik vertuscht!,0
In was überqueren Kühe den Atlantik? – In Muhbooten.,0
Welchen Arzt braucht Pinocchio? – Holz-Nasen-Ohren-Arzt.,0
Was ist grau und hat im Büro die Post sortieren? – Der Praktifant.,0
Wie heißt ein Deutscher mit zehn Autos? – Cars-ten,0
Warum wachsen auf dem Mond keine Blumen? – Zu wenig Erde!,0
Wie heißt ein Spanier ohne Auto? – Carlos.,0
"Wie nennt man eine Kuh, die twerkt? – Milkshake",0
"Wo findest du eine Kuh ohne Beine? – Da, wo du sie zuletzt gesehen hast.",0
Welches mexikanische Gericht essen Geister am liebsten? – Einen Booh-rito.,0
"Was fängt mit einem F an und hört mit einem K auf. – Nein, tut’s nicht.",0
"Wenn ich Zwillingstöchter kriege, nenne ich die eine Kate – und die andere Dupli-Kate.",0
"Warum hat man noch nie einen Elefanten gesehen, der sich im Baum versteckt? – Weil sie so gut darin sind!",0
Warum rollt die Orange nicht weiter? – Kein Saft mehr.,0
Mein Hund verfolgt Leute auf dem Rad – hab ihm das Rad jetzt weggenommen.,0
"Wie heißt ein Zombie, der keine Witze mag? – Tod Ernst!",0
"Ich wollte gerade Spiderman anrufen, aber er hatte kein Netz.",0
Was ist der Unterschied zwischen dir und einer Paprika? – Die Hohlheit der Paprika kann man wenigstens noch mit Hack füllen!,0
Wie geht ein guter Fahrrad-Witz? – Ver-rad ich nicht!,0
"Warum gucken immer alle so komisch, wenn ich das Messer ablecke? Christian, 34, Chirurg",0
"Wie heißt ein Bär, der fliegen kann? – Hubschrau-Bär.",0
Wie bestellt man zwei Bier auf Englisch? – To-bias.,0
Wie heißt die Mutter von Benjamin Blümchen? – Mutter Terrröööhsaaah!,0
"Wie heißt ein Kaninchen, das ins Fitnessstudio geht? – Pumparnickel!",0
"Was ist braun, klebrig und läuft durch die Wüste? – Ein Karamel!",0
Wer kennt sie nicht – die gemeine Freuschrecke!,0
Was lebt unter Wasser und sieht alles doppelt? – Ein Schielpferd!,0
Welcher Vogel hat Darth Vader auf den Helm gekackt? – Der Star war’s!,0
Welches Gebäck weiß auf alles eine Antwort? – der Googlehupf.,0
97% aller Menschen sind dumm! Zum Glück gehöre ich zu den anderen 5%!,0
"Ich frage mich immer, was meine Eltern früher gemacht haben, als es noch kein Internet gab. Meine 18 Geschwister wissen es auch nicht!",0
Wie nennt man einen Mann mit Botox-Lippen? – Phil-Lip.,0
Wie wird ein Handy betrunken? – Es bestellt Screen Shots!,0
Im Restaurant fragt die Bedienung: Wie fanden Sie ihr Steak? – Neben den Kartoffeln.,0
Mein Winterspeck ist weg. Hab jetzt Frühlings-Rollen.,0
"Wenn ich auf die Arbeit komme, versteck ich mich sofort! Denn gute Angestellte sind schwer zu finden!",0
"Ich habe heute Morgen ein Reh auf dem Weg zur Arbeit gesehen! – Woher wusstest du, dass es auf die Arbeit geht?",0
Warum hat eine Vogelscheuche einen Preis gewonnen? – Weil sie die Beste auf ihrem Feld war!,0
Wie heißt der Bruder vom Werwolf? – Warumwolf.,0
Was ist der Unterschied zwischen einem Lehrerzimmer und der Psychiatrie? – Die Telefonnummer!,0
Was sagt ein Mensch mit gespaltener Persönlichkeit nach dem Sex? – Na? Wer war ich?!,0
Mir wurde der Taschenrechner geklaut! – Damit hättest du rechnen müssen!,0
Wie heißen die Securitys bei Samsung? – Guardians of the Galaxy!,0
Welche Süßigkeiten essen Fieslinge? – Schurkolade!,0
"Was kommt raus, wenn man einen Tausendfüßler mit einem Papagei kreuzt? – Ein Walkie-Talkie!",0
Wie heißt der Flur im Iglu? – Eis-Diele!,0
Was macht eine Uhr im Urlaub? – Zeitreisen!,0
Welche Nationalität hat der Weihnachtsmann? – Nordpole!,0
Wie heißt ein explosives Reh? – Bombi!,0
Was kaufen Leute mit zwei linken Füßen im Schuhladen? – Flip Flips,0
Wieso ist ein Penis im Gefängnis? – Er hat gestanden!,0
Warum muss man in der Apotheke leise sein? – Damit die Schlaftabletten nicht aufwachen!,0
Hab den DJ angerufen ... Hat aufgelegt!,0
"Treffen sich zwei Ziegen: ""Kommst du heute Abend mit in den Club?"" – ""Nein. Hab keinen Bock!""",0
"""Meine Pflanzen vertrocknen immer alle! Ich verstehe nicht, warum!"" – ""Dann stehst du wohl auf dem Schlauch!""",0
Was ist der Unterschied zwischen einer Raupe und dir? – Aus der Raupe wird mal was!,0
"Wie nennt man einen Bumerang, der nicht zurückkommt? - Stock.",0
Was ist weiß und rollt den Berg rauf? – Eine Lawine mit Heimweh!,0
"Satzbau eines Gamers: Subjekt, Prädikat, Beleidigung!",0
Warum hat der Bundestag eine Kuppel? – Hast du schon mal einen Zirkus mit Flachdach gesehen?,0
Was ist grün und spielt Gitarre? – Ein Rockodil!,0
"Warum kommt die Polizei nicht, wenn Adidas überfallen wird? – Es sind schon Streifen vor Ort!",0
Hier ein Penis-Witz… – Doch nicht. Ist zu kurz.,0
"Was haben Durchfall und Elektro-Autos gemeinsam? – Die Angst, es nicht nach Hause zu schaffen!",0
"Was fängt mit „Po“ an, hat vier Buchstaben und man kann sich drauf setzen? – Ein Pony!",0
Habe Nudeln fallen lassen – Penne jetzt auf dem Boden!,0
Was macht ein Hacker am See? – Phishen!,0
Hab mir gestern ein neues Dach gekauft! – Ging aufs Haus!,0
Was macht ein Skelett auf der Bühne? – Sich auf die Knochen blamieren!,0
Airline: Ihr Flug wurde gestrichen? Gast: Und wie lange trocknet die Farbe?,0
"Wie nennt man jemanden, der so tut, als würde er etwas werfen? – Scheinwerfer.",0
"Sitzen zwei Kerzen zusammen, sagt die eine zur anderen: ""Sag mal, ist Wasser eigentlich gefährlich?"" – sagt die andere: ""Davon kannst du ausgehen!""",0
Was macht ein Mathelehrer im Garten? – Wurzeln ziehen!,0
Was liegt auf dem Boden und stinkt? – Eine Furzel!,0
Wer erfand die Shorts? – Kurt C. Hose!,0
Welches Getränk trinken Chefs? – Leitungswasser!,0
"Egal, wie gut du fährst – Züge fahren Güter!",0
Was macht ein Pirat am Computer? – Er drückt die Enter Taste!,0
"Weißt du, was der Hammer ist? – Ein Werkzeug!",0
"Treffen sich zwei Kerzen: ""Was machst du heute?"" – Die Andere: ""Ich geh aus!""",0
Was ruft der Sieger eines Wettrennens? – Förster!,0
Warum kann ein Wurstbrot nicht telefonieren? – Weil es belegt ist!,0
Welches Fabelwesen geht immer zu Starbucks? – Die Kaf-Fee!,0
"Was schwimmt auf dem See und macht ""Kikeriki!"" – Ein Wasserhahn!",0
Warum baut man neue Häuser? – Weil man alte nicht bauen kann.,0
Wie ertränken sich Bienen? – In Sekt!,0
Warum ging der Luftballon kaputt? – Aus Platzgründen!,0
Was sagt der Holzwurm zu seinen Kindern? – Ab ins Brettchen!,0
Hab gestern im ganzen Haus Kabel verlegt! – Hoffentlich findest du die wieder!,0
Warum nörgelt die Baby-Natter? – Ihr ist schlangweilig!,0
An welchem Tag dürfen U-Boote nicht ins Wasser? – Am Tag der offenen Tür!,0
Warum klaut Robin Hood Deos? – Er verteilt es unter den Armen!,0
Geht ein Panda über die Straße… – Bam-Bus!,0
Was machen Kühe beim Schulausflug? – Sie gehen ins Muuu-seum!,0
"Warum sind Eisbären weiß? – Wären sie blau, hießen sie Blaubären!",0
Magst du Chemie-Witze? – Chlor!,0
Wo wohnt die Katze? – Im Miezhaus.,0
"""Ich habe Anglistik studiert."" - ""Schade, ich mag keinen Fisch.""",0
Warum machen Professoren die besten Brötchen? – Die sind wissenschaftlich belegt!,0
Was macht ein arbeitsloser Schauspieler? – Spielt keine Rolle!,0
Was macht ein Mathe-Genie auf dem Klo? – Pi! Pi!,0
Welches Spielzeug gibt’s bei Lidl? – My Lidl Pony!,0
Was stinkt und freut sich? – Das Gefurztagskind!,0
"Welchen Gegenstand kann jeder klauen, ohne bestraft zu werden? – Antihaft-Pfannen!",0
Wie nennt man ein Überraschungsessen? – Topf Secret!,0
"Sagt ein großer Stift zum kleinen: ""Wachs mal, Stift!""",0
In welchen Zug passt nur ein Mensch? – In den Anzug!,0
"Treffen sich zwei Unsichtbare. Sagt der eine: ""Dich hab ich ja schon lang nicht mehr gesehen!""",0
"Ein Fisch kommt zum Friseur: ""Ich habe Schuppen!""",0
"Was passiert, wenn man nachts in der Bäckerei anruft? – Die Mehlbox geht dran.",0
Welche Witze kommen nie an? – Die über die Deutsche Bahn!,0
Ein Brettspiel für eine Person? - Bügeln.,0
Zwei Kekse beim Skifahren: Zerbröselt es einen!,0
Was machen Tiere in einer Disco? – Discotieren!,0
Erblickt der Pirat trockenes Gras – A Heu!,0
"Ich bin so unentschlossen, als japanischer Krieger hieße ich Nuja!",0
Warum sieht man Ameisen nie in Kirchen? – Weil sie in Sekten sind!,0
Sitzt einer im Stehcafé!,0
Habe neulich meinen Mathelehrer angerufen – damit hat er gar nicht gerechnet.,0
Wer wohnt im Dschungel und schummelt? Mogli.,0
"Dein Hund bellt aber echt tief. Ja, ist ein Subwuffer.",0
"Meine Uhr ist runtergefallen. – Dann heb sie doch auf! – Geht nicht, ich habe kein Uhrheberrecht.",0
Welches Werkzeug hat immer gute Ideen? – Der Vorschlaghammer!,0
Ich habe heute ein Brötchen angerufen – aber es war belegt.,0
Welche Sprache wird in der Sauna gesprochen? Schwitzerdeutsch.,0
"Wenn man an einem Pfannkuchen erstickt, creppiert man dann?!",0
"Egal, wie leer du bist, manche Leute sind Lehrer.",0
"Die Auszeichnung für besonders brave, ruhige Hunde: No-Bell-Preis.",0
Warum können Skelette schlecht lügen? Weil sie leicht zu durchschauen sind!,0
Aus welchem Land kommen Schorn­steinfeger? Aus Rußland.,0
"Kommen zwei Schornsteinfeger in die Bar. Sagt der Wirt: ""Geht aufs Haus.""",0
